,,0
Column14,Column17,0.5777620144208951
Column16,Column14,0.5777620144208951
Column17,Column14,0.5777620144208951
Column2,Column4,0.5777239363549387
Column4,Column2,0.5777239363549387
Column5,Column2,0.5777239363549387
Column2,Column5,0.5777239363549387
Column8,Column11,0.571114196199582
Column11,Column8,0.571114196199582
Column10,Column11,0.571114196199582
Column11,Column10,0.571114196199582
Column47,Column46,0.5711032867374637
Column44,Column47,0.5711032867374637
Column47,Column44,0.5711032867374637
Column46,Column47,0.5711032867374637
Column35,Column32,0.571083442983027
Column35,Column34,0.571083442983027
Column34,Column35,0.571083442983027
Column32,Column35,0.571083442983027
Column22,Column23,0.5710821366181763
Column23,Column20,0.5710821366181763
Column20,Column23,0.5710821366181763
Column23,Column22,0.5710821366181763
Column45,Column44,0.5481382408060012
Column44,Column45,0.5481382408060012
Column46,Column45,0.5481382408060012
Column45,Column46,0.5481382408060012
Column34,Column33,0.5480243761947703
Column32,Column33,0.5480243761947703
Column33,Column32,0.5480243761947703
Column33,Column34,0.5480243761947703
Column22,Column21,0.5476473819456514
Column21,Column22,0.5476473819456514
Column21,Column20,0.5476473819456513
Column20,Column21,0.5476473819456513
Column9,Column10,0.5474967113698246
Column10,Column9,0.5474967113698246
Column8,Column9,0.5474967113698246
Column9,Column8,0.5474967113698246
Column41,Column39,0.5397095386243342
Column39,Column40,0.5397095386243342
Column39,Column41,0.5397095386243342
Column40,Column39,0.5397095386243342
Column27,Column29,0.539643696453411
Column29,Column27,0.539643696453411
Column27,Column28,0.539643696453411
Column28,Column27,0.539643696453411
Column16,Column15,0.53949082376214
Column15,Column16,0.53949082376214
Column15,Column17,0.53949082376214
Column17,Column15,0.53949082376214
Column3,Column5,0.5394498521649235
Column4,Column3,0.5394498521649235
Column3,Column4,0.5394498521649235
Column5,Column3,0.5394498521649235
Column27,Column25,0.5369935901925084
Column25,Column27,0.5369935901925084
Column37,Column39,0.5369553746479535
Column39,Column37,0.5369553746479535
Column13,Column15,0.5368856414018108
Column15,Column13,0.5368856414018108
Column1,Column3,0.5367898677421681
Column3,Column1,0.5367898677421681
Column10,Column45,0.5353823827339419
Column45,Column10,0.5353823827339419
Column8,Column45,0.5353823827339419
Column45,Column8,0.5353823827339419
Column45,Column20,0.5329114350837685
Column22,Column45,0.5329114350837685
Column20,Column45,0.5329114350837685
Column45,Column22,0.5329114350837685
Column33,Column8,0.5327579740464842
Column33,Column10,0.5327579740464842
Column10,Column33,0.5327579740464842
Column8,Column33,0.5327579740464842
Column26,Column25,0.5290803738186943
Column25,Column26,0.5290803738186943
Column14,Column13,0.5290703156466962
Column13,Column14,0.5290703156466962
Column1,Column2,0.5289809365802423
Column2,Column1,0.5289809365802423
Column38,Column37,0.52895095800712
Column37,Column38,0.52895095800712
Column43,Column19,0.5233612026337384
Column19,Column43,0.5233612026337384
Column7,Column31,0.523335381067891
Column31,Column7,0.523335381067891
Column45,Column32,0.5215617040832407
Column34,Column45,0.5215617040832407
Column32,Column45,0.5215617040832407
Column45,Column34,0.5215617040832407
Column20,Column33,0.5214451826320726
Column22,Column33,0.5214451826320726
Column33,Column22,0.5214451826320726
Column33,Column20,0.5214451826320726
Column8,Column21,0.5210530877554305
Column21,Column8,0.5210530877554305
Column10,Column21,0.5210530877554305
Column21,Column10,0.5210530877554305
Column32,Column11,0.516435611839559
Column11,Column32,0.516435611839559
Column11,Column34,0.516435611839559
Column34,Column11,0.516435611839559
Column44,Column23,0.5164030687927711
Column46,Column23,0.5164030687927711
Column23,Column44,0.5164030687927711
Column23,Column46,0.5164030687927711
Column11,Column46,0.5073992557175897
Column44,Column11,0.5073992557175897
Column11,Column44,0.5073992557175897
Column46,Column11,0.5073992557175897
Column22,Column11,0.4961447496177198
Column11,Column22,0.4961447496177198
Column20,Column11,0.4961447496177198
Column11,Column20,0.4961447496177198
Column23,Column34,0.4961075291933588
Column32,Column23,0.4961075291933588
Column34,Column23,0.4961075291933588
Column23,Column32,0.4961075291933588
Column44,Column35,0.4960974964992368
Column35,Column46,0.4960974964992368
Column46,Column35,0.4960974964992368
Column35,Column44,0.4960974964992368
Column37,Column28,0.494845012796008
Column28,Column37,0.494845012796008
Column37,Column29,0.494845012796008
Column29,Column37,0.494845012796008
Column25,Column16,0.4948235514912893
Column16,Column25,0.4948235514912893
Column17,Column25,0.4948235514912893
Column25,Column17,0.4948235514912893
Column4,Column13,0.4947879661602478
Column13,Column5,0.4947879661602478
Column5,Column13,0.4947879661602478
Column13,Column4,0.4947879661602478
Column43,Column44,0.4906019256710512
Column43,Column46,0.4906019256710512
Column44,Column43,0.4906019256710512
Column46,Column43,0.4906019256710512
Column31,Column34,0.490539155784408
Column32,Column31,0.490539155784408
Column34,Column31,0.490539155784408
Column31,Column32,0.490539155784408
Column19,Column22,0.4904275921064713
Column22,Column19,0.4904275921064713
Column20,Column19,0.4904275921064713
Column19,Column20,0.4904275921064713
Column8,Column7,0.4903854597882022
Column7,Column10,0.4903854597882022
Column7,Column8,0.4903854597882022
Column10,Column7,0.4903854597882022
Column33,Column46,0.4895594466183046
Column44,Column33,0.4895594466183046
Column33,Column44,0.4895594466183046
Column46,Column33,0.4895594466183046
Column32,Column21,0.4892380616839738
Column21,Column34,0.4892380616839738
Column34,Column21,0.4892380616839738
Column21,Column32,0.4892380616839738
Column20,Column9,0.4891415868326802
Column9,Column22,0.4891415868326802
Column9,Column20,0.4891415868326802
Column22,Column9,0.4891415868326802
Column38,Column39,0.48363432141334384
Column39,Column38,0.48363432141334384
Column26,Column27,0.48359248765959
Column27,Column26,0.48359248765959
Column14,Column15,0.4834901337764079
Column15,Column14,0.4834901337764079
Column3,Column2,0.4834547363436176
Column2,Column3,0.4834547363436176
Column47,Column11,0.4752487914211421
Column11,Column47,0.4752487914211421
Column47,Column43,0.47072601829447974
Column43,Column47,0.47072601829447974
Column23,Column19,0.4707253392947222
Column19,Column23,0.4707253392947222
Column31,Column35,0.47071697993347933
Column35,Column31,0.47071697993347933
Column7,Column11,0.4707165655816699
Column11,Column7,0.4707165655816699
Column21,Column44,0.4684023986371922
Column44,Column21,0.4684023986371922
Column21,Column46,0.4684023986371922
Column46,Column21,0.4684023986371922
Column32,Column9,0.46834474850120406
Column34,Column9,0.46834474850120406
Column9,Column34,0.46834474850120406
Column9,Column32,0.46834474850120406
Column48,Column12,0.4619490541720444
Column12,Column48,0.4619490541720444
Column7,Column46,0.45862235015557656
Column46,Column7,0.45862235015557656
Column7,Column44,0.45862235015557656
Column44,Column7,0.45862235015557656
Column10,Column24,0.45818035237338406
Column24,Column8,0.45818035237338406
Column24,Column10,0.45818035237338406
Column8,Column24,0.45818035237338406
Column36,Column8,0.45812448995250044
Column10,Column36,0.45812448995250044
Column36,Column10,0.45812448995250044
Column8,Column36,0.45812448995250044
Column36,Column20,0.45810681025032324
Column36,Column22,0.45810681025032324
Column20,Column36,0.45810681025032324
Column22,Column36,0.45810681025032324
Column48,Column20,0.45804363475897897
Column20,Column48,0.45804363475897897
Column22,Column48,0.45804363475897897
Column48,Column22,0.45804363475897897
Column48,Column34,0.45802874334337407
Column34,Column48,0.45802874334337407
Column32,Column48,0.45802874334337407
Column48,Column32,0.45802874334337407
Column44,Column19,0.45741642554605194
Column46,Column19,0.45741642554605194
Column19,Column46,0.45741642554605194
Column19,Column44,0.45741642554605194
Column7,Column32,0.45737698129178733
Column7,Column34,0.45737698129178733
Column32,Column7,0.45737698129178733
Column34,Column7,0.45737698129178733
Column8,Column48,0.4564136961195932
Column48,Column10,0.4564136961195932
Column10,Column48,0.4564136961195932
Column48,Column8,0.4564136961195932
Column47,Column34,0.44738554774810835
Column34,Column47,0.44738554774810835
Column32,Column47,0.44738554774810835
Column47,Column32,0.44738554774810835
Column35,Column20,0.4473705996563119
Column22,Column35,0.4473705996563119
Column20,Column35,0.4473705996563119
Column35,Column22,0.4473705996563119
Column23,Column8,0.4473656986019024
Column23,Column10,0.4473656986019024
Column8,Column23,0.4473656986019024
Column10,Column23,0.4473656986019024
Column12,Column8,0.44519253764757943
Column8,Column12,0.44519253764757943
Column12,Column10,0.44519253764757943
Column10,Column12,0.44519253764757943
Column24,Column22,0.44514603766881816
Column22,Column24,0.44514603766881816
Column24,Column20,0.44514603766881816
Column20,Column24,0.44514603766881816
Column36,Column32,0.4450850737234911
Column32,Column36,0.4450850737234911
Column34,Column36,0.4450850737234911
Column36,Column34,0.4450850737234911
Column46,Column48,0.4450004107428664
Column44,Column48,0.4450004107428664
Column48,Column44,0.4450004107428664
Column48,Column46,0.4450004107428664
Column9,Column44,0.4393205845548012
Column44,Column9,0.4393205845548012
Column46,Column9,0.4393205845548012
Column9,Column46,0.4393205845548012
Column44,Column31,0.43209444494989957
Column31,Column46,0.43209444494989957
Column31,Column44,0.43209444494989957
Column46,Column31,0.43209444494989957
Column19,Column32,0.43200740219954087
Column19,Column34,0.43200740219954087
Column34,Column19,0.43200740219954087
Column32,Column19,0.43200740219954087
Column7,Column22,0.4319438255296663
Column20,Column7,0.4319438255296663
Column7,Column20,0.4319438255296663
Column22,Column7,0.4319438255296663
Column31,Column28,0.43145216667419417
Column28,Column31,0.43145216667419417
Column31,Column29,0.43145216667419417
Column29,Column31,0.43145216667419417
Column19,Column17,0.4313557281091819
Column17,Column19,0.4313557281091819
Column16,Column19,0.4313557281091819
Column19,Column16,0.4313557281091819
Column7,Column5,0.43132707515831403
Column7,Column4,0.43132707515831403
Column5,Column7,0.43132707515831403
Column4,Column7,0.43132707515831403
Column43,Column41,0.43128085367187713
Column41,Column43,0.43128085367187713
Column43,Column40,0.43128085367187713
Column40,Column43,0.43128085367187713
Column43,Column39,0.43090270819520277
Column39,Column43,0.43090270819520277
Column31,Column27,0.4308505084182498
Column27,Column31,0.4308505084182498
Column15,Column19,0.430765068253841
Column19,Column15,0.430765068253841
Column3,Column7,0.4307493464937035
Column7,Column3,0.4307493464937035
Column26,Column31,0.4305898965254007
Column31,Column26,0.4305898965254007
Column38,Column43,0.43055492789863126
Column43,Column38,0.43055492789863126
Column19,Column14,0.4304991220032351
Column14,Column19,0.4304991220032351
Column2,Column7,0.43045425866656284
Column7,Column2,0.43045425866656284
Column47,Column22,0.41619829389269947
Column47,Column20,0.41619829389269947
Column22,Column47,0.41619829389269947
Column20,Column47,0.41619829389269947
Column35,Column8,0.41617776558841296
Column35,Column10,0.41617776558841296
Column10,Column35,0.41617776558841296
Column8,Column35,0.41617776558841296
Column22,Column12,0.4050426870688877
Column20,Column12,0.4050426870688877
Column12,Column20,0.4050426870688877
Column12,Column22,0.4050426870688877
Column32,Column24,0.4049934170283692
Column34,Column24,0.4049934170283692
Column24,Column34,0.4049934170283692
Column24,Column32,0.4049934170283692
Column46,Column36,0.4049419806246789
Column36,Column44,0.4049419806246789
Column36,Column46,0.4049419806246789
Column44,Column36,0.4049419806246789
Column43,Column2,0.4016229567943689
Column2,Column43,0.4016229567943689
Column15,Column43,0.400959753742877
Column43,Column15,0.400959753742877
Column3,Column31,0.4009351840838787
Column31,Column3,0.4009351840838787
